"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0211";"Høgskolen i Bodø";"120500";"Senter for journalistikk";"2001";"1";"Vår";"S";"Studenter";"63";"40";"23"
"0211";"Høgskolen i Bodø";"120500";"Senter for journalistikk";"2001";"3";"Høst";"S";"Studenter";"88";"52";"36"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2009";"3";"Høst";"S";"Studenter";"17";"14";"3"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2006";"3";"Høst";"S";"Studenter";"0";"0";"0"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2008";"3";"Høst";"S";"Studenter";"25";"14";"11"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2003";"1";"Vår";"S";"Studenter";"74";"36";"38"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2004";"1";"Vår";"S";"Studenter";"63";"30";"33"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2001";"1";"Vår";"S";"Studenter";"73";"27";"46"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2006";"1";"Vår";"S";"Studenter";"57";"46";"11"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2002";"1";"Vår";"S";"Studenter";"57";"37";"20"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2005";"1";"Vår";"S";"Studenter";"63";"37";"26"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2007";"1";"Vår";"S";"Studenter";"64";"51";"13"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2003";"3";"Høst";"S";"Studenter";"60";"36";"24"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2001";"3";"Høst";"S";"Studenter";"76";"49";"27"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2007";"3";"Høst";"S";"Studenter";"123";"102";"21"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2002";"3";"Høst";"S";"Studenter";"136";"66";"70"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2005";"3";"Høst";"S";"Studenter";"58";"42";"16"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2010";"3";"Høst";"S";"Studenter";"12";"7";"5"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2004";"3";"Høst";"S";"Studenter";"44";"27";"17"
"0211";"Høgskolen i Bodø";"120600";"Senter for etter- og videreutdanning";"2008";"1";"Vår";"S";"Studenter";"123";"105";"18"
